Polling_firm,PollDate,LPC,CPC,NDP,BQ,GPC,PPC,SampleSize,mode,NumDays,Other,pollster_id,mode_id
Mainstreet Research,2020-06-26,0.43200000000000005,0.27399999999999997,0.141,0.057,0.048,0.028999999999999998,1283,online,250,0.018999999999999906,1,2
Nanos Research,2020-06-26,0.384,0.27,0.14800000000000002,0.065,0.09300000000000001,0.032,1000,IVR,250,0.008000000000000007,2,1
Nanos Research,2020-06-19,0.382,0.261,0.141,0.075,0.095,0.038,1000,IVR,243,0.008000000000000007,2,1
EKOS,2020-06-16,0.405,0.299,0.127,0.051,0.065,0.035,3006,online,240,0.017999999999999905,5,2
Nanos Research,2020-06-12,0.368,0.257,0.163,0.07,0.09300000000000001,0.044000000000000004,1000,IVR,236,0.004999999999999893,2,1
Nanos Research,2020-06-05,0.358,0.255,0.16699999999999998,0.081,0.083,0.047,1000,IVR,229,0.009000000000000008,2,1
Nanos Research,2020-05-22,0.353,0.262,0.193,0.066,0.075,0.046,1000,IVR,215,0.004999999999999893,2,1
Nanos Research,2020-05-15,0.36700000000000005,0.263,0.184,0.067,0.07200000000000001,0.040999999999999995,1000,IVR,208,0.005999999999999894,2,1
Nanos Research,2020-05-08,0.369,0.261,0.192,0.061,0.08,0.032,1000,IVR,201,0.0050000000000000044,2,1
Mainstreet Research,2020-05-07,0.433,0.294,0.115,0.057999999999999996,0.059000000000000004,0.03,1404,online,200,0.01100000000000001,1,2
EKOS,2020-05-07,0.42700000000000005,0.28300000000000003,0.106,0.067,0.067,0.033,5276,online,200,0.017000000000000015,5,2
Research Co.,2020-05-03,0.39,0.3,0.17,0.05,0.07,0.01,1000,IVR,196,0.010000000000000009,9,1
Nanos Research,2020-05-01,0.369,0.258,0.19,0.057999999999999996,0.084,0.036000000000000004,1000,IVR,194,0.0050000000000000044,2,1
Nanos Research,2020-04-24,0.382,0.262,0.17,0.069,0.08,0.034,1000,IVR,187,0.0030000000000000027,2,1
Nanos Research,2020-04-17,0.38299999999999995,0.264,0.174,0.07200000000000001,0.07,0.027999999999999997,1000,IVR,180,0.008999999999999897,2,1
Nanos Research,2020-04-10,0.381,0.284,0.157,0.081,0.067,0.02,1000,IVR,173,0.010000000000000009,2,1
